ticker,ev_usd,usd_per_point
TMUS,145094707928.33,8289938.959746294
DIS,143154475009.63284,8179084.382805868
T,141021245081.1857,8057202.984466612
CMCSA,139094871276.40286,7947140.243493371
VZ,138685161047.10284,7923731.582760144
PARA,61729530855.67857,3526896.6739994646
SPOT,61667594772.6,3523357.976031371
NWSA,60326939960.042854,3446760.0992316282
RELX,59674620370.9,3409490.0316085406
WBD,58971261035.00572,3369303.824650452
NWS,58819226084.16143,3360617.3571683317
