ticker,quarter,cov_pct,trust_pct,liq_pct,val_pct,val_metric,ev_usd
CMCSA,2024Q2,84.0,43.75,42.9,71.42857142857143,24.57360725260417,239371508247.6172
CMCSA,2024Q3,60.0,50.0,28.6,100.0,25.530923619140623,248518010508.71484
CMCSA,2024Q4,16.0,18.75,57.1,71.42857142857143,27.32678611165049,231621839082.3496
CMCSA,2025Q1,44.0,37.5,28.6,100.0,24.19303479026399,227196789715.36917
CMCSA,2025Q2,44.0,62.5,57.1,100.0,11.247178936361053,223886343907.20312
DASH,2024Q2,52.0,12.5,0.0,100.0,-681.7321750878266,41585662680.35742
DASH,2024Q3,16.0,18.75,14.3,14.285714285714285,226.9683429790497,55607244029.86719
DASH,2024Q4,22.0,37.5,14.3,14.285714285714285,256.5879031007752,66199679000.0
DASH,2025Q1,10.0,12.5,14.3,28.57142857142857,234.91186145625127,72352853328.52539
DASH,2025Q2,50.0,12.5,14.3,28.57142857142857,316.8308868628445,102019545569.83594
DIS,2024Q2,10.0,31.25,28.6,28.57142857142857,45.6764440143321,220251813037.10938
DIS,2024Q3,20.0,37.5,85.7,42.85714285714285,78.06131746692331,215839542796.04297
DIS,2024Q4,30.0,50.0,0.0,57.14285714285714,44.36915244609133,240613913715.1533
DIS,2025Q1,48.0,50.0,42.9,57.14285714285714,43.97955919293111,214708207979.88965
DIS,2025Q2,10.0,25.0,28.6,42.85714285714285,52.16522451808238,259834983324.5684
T,2024Q2,16.0,62.5,57.1,85.71428571428571,23.073421422282188,273696924911.11133
T,2024Q3,48.0,62.5,57.1,71.42857142857143,35.94113233320415,294429756073.6084
T,2024Q4,48.0,62.5,42.9,100.0,23.95566958008809,295684829627.02734
T,2025Q1,36.0,62.5,71.4,85.71428571428571,26.13822892513495,335588721169.8076
T,2025Q2,32.0,68.75,42.9,85.71428571428571,26.771821454406155,348140766193.09766
TMUS,2024Q2,28.0,75.0,71.4,42.85714285714285,39.54204498035087,311195893995.3613
TMUS,2024Q3,62.0,68.75,42.9,57.14285714285714,43.222708100402265,343793420230.5996
TMUS,2024Q4,80.0,31.25,71.4,42.85714285714285,46.297669793923234,362464456816.625
TMUS,2025Q1,84.0,50.0,57.1,42.85714285714285,51.71467273082244,411235077555.5
TMUS,2025Q2,64.0,37.5,71.4,57.14285714285714,45.18245737552642,377183154170.8945
VZ,2024Q2,64.0,68.75,85.7,57.14285714285714,27.064206024797333,330589276592.8994
VZ,2024Q3,78.0,50.0,71.4,85.71428571428571,33.20169829902995,346360116655.48047
VZ,2024Q4,74.0,75.0,85.7,85.71428571428571,25.504783078508545,324369831192.4717
VZ,2025Q1,36.0,75.0,85.7,71.42857142857143,27.62972012886667,350400110674.2871
VZ,2025Q2,68.0,75.0,85.7,71.42857142857143,26.856341093418592,345990242306.5117
