ticker,n,w_cov,w_trust,w_liq,w_val,R2_in,R2_cv,drop_cov_pct_dR2,drop_trust_pct_dR2,drop_liq_pct_dR2,drop_val_pct_dR2
CMCSA,20,0.9036562258680668,0.0,0.09634377413193307,0.0,0.1114937588041921,-0.5507272154249967,0.10511919801235092,0.0,0.0007599532096569384,0.0
DASH,17,0.0,0.0,1.0,0.0,0.05772499301360545,-1.0930122221087837,0.0,0.0,0.05772499301360545,0.0
DIS,20,0.0,0.0,1.0,0.0,0.01939153100913582,-0.09435433649652403,0.0,0.0,0.01939153100913582,0.0
T,16,0.021647792344435972,0.0,0.9783522076555641,0.0,0.1213773392073747,-1.0460720308905023,8.55284202229134e-05,0.0,0.12079812833099501,0.0
TMUS,20,0.25,0.25,0.25,0.25,0.0,-0.17802531718984782,0.0,0.0,0.0,0.0
VZ,10,0.25,0.25,0.25,0.25,0.0,-0.10312717952144546,0.0,0.0,0.0,0.0
