ticker,quarter,next_quarter,ret_nextq,peer_median_nextq,peer_gap_price_nextq
CMCSA,2020Q3,2020Q4,0.13842329303592704,0.1032483085320901,0.03517498450383694
CMCSA,2020Q4,2021Q1,0.037383811250241816,0.0003640416884029829,0.03701976956183883
CMCSA,2021Q1,2021Q2,0.05857825845407372,-0.02610767210654663,0.08468593056062035
CMCSA,2021Q2,2021Q3,-0.014874742356968396,-0.03754906980713446,0.022674327450166065
CMCSA,2021Q3,2021Q4,-0.09615391705408916,-0.08441212981025004,-0.011741787243839119
CMCSA,2021Q4,2022Q1,-0.06514002280176134,-0.01990341497067949,-0.045236607831081854
CMCSA,2022Q1,2022Q2,-0.1571642370640569,0.00840439287058703,-0.16556862993464394
CMCSA,2022Q2,2022Q3,-0.2475034555591794,-0.22939068100358417,-0.018112774555595235
CMCSA,2022Q3,2022Q4,0.20289630738008002,0.04345233658791092,0.1594439707921691
CMCSA,2022Q4,2023Q1,0.08407206176722903,0.04562737642585546,0.038444685341373575
CMCSA,2023Q1,2023Q2,0.09601688208915848,-0.04371303677037808,0.13972991885953656
CMCSA,2023Q2,2023Q3,0.06714801444043328,-0.05830721003134798,0.12545522447178126
CMCSA,2023Q3,2023Q4,-0.01105096977898068,0.14480542663334517,-0.15585639641232585
CMCSA,2023Q4,2024Q1,-0.011402508551881407,0.11299734748010604,-0.12439985603198744
CMCSA,2024Q1,2024Q2,-0.09665513264129189,-0.01715919923736886,-0.07949593340392302
CMCSA,2024Q2,2024Q3,0.06664964249233929,0.15122972265829415,-0.08458008016595486
CMCSA,2024Q3,2024Q4,-0.10150825951639941,0.06963558829230454,-0.17114384780870395
CMCSA,2024Q4,2025Q1,-0.016786570743405393,0.13428357089272303,-0.15107014163612842
CMCSA,2025Q1,2025Q2,-0.03279132791327921,0.023338048090523422,-0.056129376003802633
CMCSA,2025Q2,2025Q3,-0.11768002241524234,-0.00254217702796411,-0.11513784538727823
DASH,2021Q2,2021Q3,0.15504962709583348,-0.03754906980713446,0.19259869690296794
DASH,2021Q3,2021Q4,-0.2771142829400912,-0.08441212981025004,-0.19270215312984118
