ticker,quarter,trust_pct
TMUS,2020Q4,47.32142857142857
VZ,2020Q4,86.60714285714286
CMCSA,2021Q1,43.75
DASH,2021Q1,6.25
DIS,2021Q1,37.5
RELX,2021Q1,68.75
SPOT,2021Q1,6.25
T,2021Q1,87.5
TMUS,2021Q1,31.25
VZ,2021Q1,68.75
CMCSA,2021Q2,37.5
DASH,2021Q2,0.0
DIS,2021Q2,62.5
RELX,2021Q2,62.5
SPOT,2021Q2,12.5
T,2021Q2,50.0
TMUS,2021Q2,37.5
VZ,2021Q2,87.5
CMCSA,2021Q3,25.0
DASH,2021Q3,43.75
DIS,2021Q3,12.5
RELX,2021Q3,43.75
SPOT,2021Q3,25.0
T,2021Q3,68.75
TMUS,2021Q3,50.0
VZ,2021Q3,81.25
CMCSA,2021Q4,43.75
DASH,2021Q4,0.0
DIS,2021Q4,43.75
RELX,2021Q4,62.5
SPOT,2021Q4,12.5
T,2021Q4,56.25
TMUS,2021Q4,50.0
VZ,2021Q4,81.25
CMCSA,2022Q1,68.75
DASH,2022Q1,0.0
DIS,2022Q1,37.5
RELX,2022Q1,50.0
SPOT,2022Q1,12.5
T,2022Q1,56.25
TMUS,2022Q1,43.75
VZ,2022Q1,81.25
CMCSA,2022Q2,50.0
DASH,2022Q2,0.0
DIS,2022Q2,43.75
RELX,2022Q2,68.75
SPOT,2022Q2,12.5
T,2022Q2,50.0
TMUS,2022Q2,56.25
VZ,2022Q2,68.75
CMCSA,2022Q3,31.25
DASH,2022Q3,6.25
DIS,2022Q3,43.75
RELX,2022Q3,75.0
SPOT,2022Q3,6.25
T,2022Q3,62.5
TMUS,2022Q3,62.5
VZ,2022Q3,62.5
CMCSA,2022Q4,62.5
DASH,2022Q4,0.0
DIS,2022Q4,25.0
RELX,2022Q4,62.5
SPOT,2022Q4,12.5
T,2022Q4,50.0
TMUS,2022Q4,62.5
VZ,2022Q4,75.0
CMCSA,2023Q1,43.75
DASH,2023Q1,0.0
DIS,2023Q1,43.75
RELX,2023Q1,75.0
SPOT,2023Q1,12.5
T,2023Q1,37.5
TMUS,2023Q1,62.5
VZ,2023Q1,75.0
CMCSA,2023Q2,37.5
DASH,2023Q2,12.5
DIS,2023Q2,25.0
RELX,2023Q2,62.5
SPOT,2023Q2,50.0
T,2023Q2,31.25
TMUS,2023Q2,62.5
VZ,2023Q2,68.75
CMCSA,2023Q3,68.75
DASH,2023Q3,12.5
DIS,2023Q3,37.5
RELX,2023Q3,62.5
SPOT,2023Q3,6.25
T,2023Q3,50.0
TMUS,2023Q3,62.5
VZ,2023Q3,50.0
CMCSA,2023Q4,37.5
DASH,2023Q4,0.0
DIS,2023Q4,43.75
RELX,2023Q4,81.25
SPOT,2023Q4,18.75
T,2023Q4,56.25
TMUS,2023Q4,68.75
VZ,2023Q4,43.75
CMCSA,2024Q1,56.25
DASH,2024Q1,0.0
DIS,2024Q1,25.0
RELX,2024Q1,50.0
SPOT,2024Q1,18.75
T,2024Q1,68.75
TMUS,2024Q1,81.25
VZ,2024Q1,50.0
CMCSA,2024Q2,43.75
DASH,2024Q2,12.5
DIS,2024Q2,31.25
RELX,2024Q2,56.25
SPOT,2024Q2,0.0
T,2024Q2,62.5
TMUS,2024Q2,75.0
VZ,2024Q2,68.75
CMCSA,2024Q3,50.0
DASH,2024Q3,18.75
DIS,2024Q3,37.5
RELX,2024Q3,56.25
SPOT,2024Q3,6.25
T,2024Q3,62.5
TMUS,2024Q3,68.75
VZ,2024Q3,50.0
CMCSA,2024Q4,18.75
DASH,2024Q4,37.5
DIS,2024Q4,50.0
RELX,2024Q4,68.75
SPOT,2024Q4,6.25
T,2024Q4,62.5
TMUS,2024Q4,31.25
VZ,2024Q4,75.0
CMCSA,2025Q1,37.5
DASH,2025Q1,12.5
DIS,2025Q1,50.0
RELX,2025Q1,62.5
SPOT,2025Q1,0.0
T,2025Q1,62.5
TMUS,2025Q1,50.0
VZ,2025Q1,75.0
CMCSA,2025Q2,62.5
DASH,2025Q2,12.5
DIS,2025Q2,25.0
RELX,2025Q2,56.25
SPOT,2025Q2,12.5
T,2025Q2,68.75
TMUS,2025Q2,37.5
VZ,2025Q2,75.0
CMCSA,2025Q3,43.75
DASH,2025Q3,18.75
DIS,2025Q3,50.0
RELX,2025Q3,43.75
SPOT,2025Q3,0.0
T,2025Q3,75.0
TMUS,2025Q3,50.0
VZ,2025Q3,68.75
