ticker,avg_ev_usd,usd_per_irci_point
CMCSA,234118898292.2508,4098167.526910861
DASH,67552996921.717186,1182491.034895042
DIS,230249692170.55273,4030438.4584822464
T,309508199594.9305,5417830.265497082
TMUS,361174400553.7961,6322228.622711981
VZ,339541915484.3301,5943559.713517802
