metric,w_cov,w_trust,w_liq,w_val,R2_in,R2_cv
median,0.135823896172218,0.0,0.614176103827782,0.0,0.038558262011370636,-0.36437626630742226
mean,0.2375506697020838,0.08333333333333333,0.5957826636312494,0.08333333333333333,0.05166460367238468,-0.51088638360535
iqr_low,0.005411948086108993,0.0,0.25,0.0,0.004847882752283955,-0.9222358270241259
iqr_high,0.25,0.1875,0.994588051913891,0.1875,0.09805156735654544,-0.12185171393854605
