ticker,n_quarters,w_cov,w_trust,w_liq,w_val,R2_in,drop_cov_dR2,drop_trust_dR2,drop_liq_dR2,drop_val_dR2
CMCSA,3,0.2,0.35,0.45,0.0,0.9999941042590517,-0.9115061373068849,-0.9998778699614147,-0.44829334859698544,0.0
DASH,3,0.05,0.0,0.95,0.0,0.9529708684599717,-0.9529708684599717,0.0,-2.220446049250313e-16,0.0
DIS,3,0.45,0.3,0.25,0.0,0.9999999999901779,-0.4127458117462508,-0.04143642600223829,-0.9174130918894535,0.0
T,3,0.4,0.15,0.15,0.3,0.9999998019803209,-0.5139750012396844,2.220446049250313e-16,-0.08552578597336613,-0.6976673277697107
TMUS,3,0.45,0.4,0.15,0.0,0.999993237684719,-0.8672878606831451,-0.9843395270042029,-0.16800915688184082,0.0
VZ,3,0.15,0.6,0.0,0.25,0.9999949299438031,-0.1975055539396523,-0.9873659299125505,0.0,-0.07988715946373726
