ticker,quarters,mean_composite_pct,median_composite_pct,min_composite_pct,max_composite_pct
TMUS,21,52.00095238095238,52.57,47.019999999999996,56.355000000000004
VZ,11,50.95136363636364,51.485,45.445,55.385000000000005
T,17,50.853529411764704,50.585,45.254999999999995,55.945
CMCSA,21,49.459523809523816,48.855000000000004,45.254999999999995,55.945
DIS,21,47.461190476190474,47.394999999999996,42.93,53.355000000000004
DASH,18,44.43444444444444,43.6375,41.5,50.125
